review,class_
"esta es una reseña mala",1
"otra reseña negativa",1
"una tercera reseña poco favorable",1
"una cuarta opinión desfavorable",1
"no me gustó",2
"no es lo que esperaba",2
"me decepcionó bastante",2
"no volvería a comprarlo",2
"esta es una reseña neutral",3
"no tengo una opinión clara",3
"no sé qué pensar al respecto",3
"no me impactó de ninguna manera",3
"buena experiencia",4
"me gustó mucho",4
"excelente servicio",4
"lo recomiendo completamente",4
"excelente experiencia",5
"la mejor experiencia que he tenido",5
"servicio increíble",5
"no puedo expresar lo feliz que estoy",5
